qrcodeid,Dhalao Name,Zone,Ward,Landmark,Type,Latitude,Longitude,Location
NGMSC00177,SUPERVISOR:-ANIL RANA,2-Bhuteswar,24-Sarai Azamabad,BARF FACTORY KE PASS ,Dhalao,27.523914,77.66457,BARF FACTORY KE PASS 
NGMSC00176,SUPERVISOR:-ANIL RANA,2-Bhuteswar,12-Radhe Shyam Colony,dalab dhar pr hospital ke paas,Dhalao,27.526505,77.66383,dalab dhar pr hospital ke paas
NGMSC00175,SUPERVISOR:-Dilip singh,3-Aurangabad,28-Aurangabad Second,REVTINA NAGAR PULIYA,Dhalao,27.448885,77.706156,REVTINA NAGAR PULIYA
NGMSC00174,SUPERVISOR:-Dilip singh,3-Aurangabad,10-Aurangabad First,PURSHOTTAM PULIYA,Dhalao,27.437359,77.702483,PURSHOTTAM PULIYA
NGMSC00172,SUPERVISOR:-ARYAN VERMA,2-Bhuteswar,60-Jagannath Puri,potra kund,Dhalao,27.50451,77.666534,jagannath puri
NGMSC00171,SUPERVISOR:-JITENDRA,1-City,26-Naya Nagla,MATHURA,Dhalao,27.488872,77.68344,NEAR NAYA NAGLA
NGMSC00170,SUPERVISOR:-JITENDRA,1-City,26-Naya Nagla,BAHADURPUR,Dhalao,27.494543,77.685012,BAHADURPUR
NGMSC00169,SUPERVISOR:-HARIOM,1-City,05-Bharatpur Gate,"NEAR BHARATPUR GATE, MATHURA",Dhalao,27.499353,77.678257,MAYOR WALI GALI
NGMSC00168,SUPERVISOR:-HARIOM,1-City,05-Bharatpur Gate,"NEAR MACHHALI MANDI, MATHURA",Dhalao,27.500945,77.676278,NEAR MACHHALI MANDI
NGMSC00167,SUPERVISOR:-CHARAN SINGH,1-City,22-Badhri Nagar,near kabristan,Dhalao,27.500674,77.673428,"badri nagar, "
NGMSC00166,SUPERVISOR:-SURENDRA SAGAR,2-Bhuteswar,55-Govind Nagar,govind nagar,Dhalao,27.506409,77.662988,govind nagar
NGMSC00165,SUPERVISOR:-Dilip singh,3-Aurangabad,10-Aurangabad First,BAIRAJ MOD,Dhalao,27.435404,77.701617,BAIRAJ MOD
NGMSC00164,SUPERVISOR:-Dilip singh,3-Aurangabad,10-Aurangabad First,SHAUCHALAY KE PASS,Dhalao,27.445872,77.706472,SHAUCHALAY KE PASS
NGMSC00128,SUPERVISOR:-HARIKESH JAAT,1-City,14-Lakshmi Nagar Yamunapar,mata wali gali ,Dhalao,27.511215,77.705722,mata wali gali 
NGMSC00127,SUPERVISOR:-HARIKESH JAAT,1-City,02-Ambedkar Nagar,get well hostpital,Dhalao,27.511248,77.709674,get well hostpital
NGMSC00124,SUPERVISOR:-HARIKESH JAAT,1-City,07-Lohvan,lahuvan pokhar,Dhalao,27.513421,77.721505,lahuvan pokhar
NGMSC00123,SUPERVISOR:-SANDEEP,3-Aurangabad,38-Civil lines,AURANGABAD,Dhalao,27.453026,77.705959,"DAMODARPURA,DAMODARPURA GATE KE SAMNE "
NGMSC00122,SUPERVISOR:-SANDEEP,3-Aurangabad,38-Civil lines,Aurangabad,Dhalao,27.456258,77.703953,"DAMODARPURA, SHANI DEV MANDIR"
NGMSC00120,SUPERVISOR:-AMAN,3-Aurangabad,41-Dhaulipiau,Aurangabad,Dhalao,27.473712,77.673807,"DHOLI PIYAU ,POKHAR "
NGMSC00117,SUPERVISOR:-SURENDRA SAGAR,2-Bhuteswar,46-Radha Nagar,(KRISHNA NAGR ) ,Dhalao,27.503578,77.657387,KRISHNA NAGR 
NGMSC00108,SUPERVISOR:-Sanjiv,2-Bhuteswar,58-Gau Ghat,near jay shree colony gaughat,Dhalao,27.511527,77.675048,near jay shree colony gaughat
NGMSC00107,SUPERVISOR:-HEMANT,4-Vrindavan,67-Kemar Van,Vrindavan,Dhalao,27.570569,77.684786,KABADI VALI WALI
NGMSC00105,SUPERVISOR:-SATENDRA,4-Vrindavan,21-Chaitanya Bihar,Vrindavan,Dhalao,27.563681,77.638404,KAMAL MANDIR KE PASS 
NGMSC00099,SUPERVISOR:-PAWAN KUMAR,4-Vrindavan,69-Ratan Chhatri,Vrindavan,Dhalao,27.576148,77.685274,PILI KOTHI
NGMSC00098,SUPERVISOR:-PAWAN KUMAR,4-Vrindavan,70-Biharipur,Vrindavan,Dhalao,27.558692,77.688077,JUGAL GHAT
NGMSC00089,SUPERVISOR:-PAWAN KUMAR,4-Vrindavan,34-Radhaniwas,Vrindavan,Dhalao,27.577374,77.703101,Char sampradaay
NGMSC00088,SUPERVISOR:-PAWAN KUMAR,4-Vrindavan,09-Gandhi Nagar,Vrindavan,Dhalao,27.577881,77.69456,Telipada
NGMSC00087,SUPERVISOR:-Ankit,4-Vrindavan,59-Maholi Second,AURANGABAD,Dhalao,27.481146,77.656433,Jai Gurudev Mandir Ke pass
NGMSC00085,SUPERVISOR:-SONVEER,3-Aurangabad,33-Palikhera,AURANGABAD,Dhalao,27.477459,77.657591,Chandra Green Heights
NGMSC00084,SUPERVISOR:-Gaurav Thakur,1-City,35-Bankhandi,CITY,Dhalao,27.49826,77.679556,Kishor raman inter college
NGMSC00083,SUPERVISOR:-MOHIT SAINI,2-Bhuteswar,47-Dwarkapuri,BHUTESHWAR,Dhalao,27.496668,77.682024,BSA  puliya
